"技能ID","名称","卡面文案","类别","来源","AP","魔力","生命","冷却","次数","目标与范围","效果链","结算规则","启用","版本","主构筑","职责","主词条","附带词条","伤害类别"
"F-P-R15","熔火领域","在3×3区域生成火场，持续3回合。你的行动条增加8点。","个人术式-R远程","火系术式:F-P-R15","3","4","0","4自身回合","无限","3x3空地；射程4","生成区域火场并持续3回合；施法者行动条+8","平衡职责：区域封锁；状态：待固定种子验证；重掩体阻断投放","是","1","燃烧火场","终端","火场","","主伤害"
"F-P-R16","引爆","对燃烧的敌人造成20点火焰伤害，并移除其燃烧。","个人术式-R远程","火系术式:F-P-R16","2","5","0","2自身回合","无限","燃烧敌单体；射程3","造成20点火焰伤害并消费燃烧","平衡职责：单体引爆；状态：待固定种子验证；需燃烧前置","是","1","燃烧火场","终端","燃烧","","主伤害"
"F-P-R17","地火抽爆","对火场上的敌人造成12点火焰伤害，并移除该格火场。","个人术式-R远程","火系术式:F-P-R17","0","0","0","0自身回合","无限","火场上敌人；射程4","造成12点火焰伤害并消费该格火场","平衡职责：火场引爆；状态：待固定种子验证；需火场前置","是","1","燃烧火场","过渡","火场","","伤害加运转"
"F-P-R18","爆燃横扫","扇形内燃烧的敌人和友方各受12点火焰伤害，并移除燃烧。","个人术式-R远程","火系术式:F-P-R18","2","3","0","2自身回合","无限","前方3格锥形；射程3","燃烧单位各受到12点火焰伤害并消费燃烧","平衡职责：范围引爆；状态：待固定种子验证；友军若燃烧亦受影响","是","1","燃烧火场","过渡","燃烧","","伤害加运转"
"F-P-R19","熔障爆点","对敌人造成16点伤害；其上下左右相邻的敌人和友方各受8点伤害。破障。","个人术式-R远程","火系术式:F-P-R19","2","4","0","2自身回合","无限","可见可受击单体；射程4","对中心单位或物件造成16点伤害，并对正交相邻单位与物件各造成8点伤害","平衡职责：远程破障；状态：已接入待实机验收；邻格伤友军；单位与物件同值","是","1","破坏回流","过渡","破障","","伤害加运转"
"F-P-R20","焚城界限","范围内的敌人和友方各受20点火焰伤害，空格生成持续3回合的火场。行动条+8。","个人术式-R远程","火系术式:F-P-R20","2","6","0","4自身回合","无限","中心及正交相邻；射程4","范围内单位各受到20点火焰伤害，并生成持续3回合的火场；施法者行动条+8","平衡职责：远程终结；状态：待固定种子验证；伤友军且重掩体截断","是","1","燃烧火场","终端","火场","燃烧","主伤害"
"F-P-R21","裂痕投射","首个目标受到6点伤害；若为物件则施加裂痕，若为单位则推1格。","个人术式-R远程","火系术式:F-P-R21","1","3","0","1自身回合","无限","直线4格；首个单位或物件","首个目标受到6点伤害；若为物件则施加裂痕，若为单位则推1格。","首个单位或可破坏物拦截投射；裂痕物块被摧毁时施加者回流2魔力与4护盾，至施加者下一次自身回合结束移除；推动不得穿单位或物块。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","地块破坏回流","稳定骨架","","",""
"F-P-R22","楔形震裂","范围内单位与可破坏物各受到8点伤害；对物件视为破障，伤害翻倍。","个人术式-R远程","火系术式:F-P-R22","2","4","0","2自身回合","无限","前方2格锥形","范围内单位与可破坏物各受到8点伤害；对物件视为破障，伤害翻倍。","敌我同值；重掩体逐射线截断。；可破坏容器耐久归零时销毁未领取内容；教程固定宝箱不可破坏。；审核通过，现有物件结算已接入；随机容器受击与销毁待实装","是","1","地块破坏回流","空间转化","","",""
"F-P-R23","崩面震波","范围内单位与可破坏物各受到6点伤害；若有物件被摧毁，相邻单位向外推1格。","个人术式-R远程","火系术式:F-P-R23","2","4","0","2自身回合","无限","3格内目标格；中心与正交相邻","范围内单位与可破坏物各受到6点伤害；若有物件被摧毁，相邻单位向外推1格。","先统一伤害，再按被摧毁物件逐一处理推动；同一单位最多推1次。；必须预览哪些物件会被摧毁及最终推位。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","地块破坏回流","空间转化","","",""
"F-P-R24","回流护持","下一次裂痕物件被己方摧毁时，在标准摧毁回流之外获得4护盾。","个人术式-R远程","火系术式:F-P-R24","1","3","0","2自身回合","无限","自身附着","下一次裂痕物件被己方摧毁时，在标准摧毁回流之外获得4护盾。","持续至下次自身回合开始；每次只触发1次。；不因环境自行摧毁而触发。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","地块破坏回流","独立收益","","",""
"F-P-R25","借障折射","以该重掩体为折射点，沿另一侧直线2格；首个单位或物件受到10点伤害。","个人术式-R远程","火系术式:F-P-R25","1","2","0","1自身回合","无限","3格内与重掩体正交相邻的可见空格；折射线2格","以该重掩体为折射点，沿另一侧直线2格；首个单位或物件受到10点伤害。","不能选择永久墙；折射路径仍受第二个重掩体截断。；目标格与折射方向必须在施放前完整显示。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","地块破坏回流","空间转化","","",""
"F-P-R26","断线爆破","放置公开爆破标记；本回合结束时范围内单位与可破坏物各受到12点伤害，物件视为破障。","个人术式-R远程","火系术式:F-P-R26","2","5","0","3自身回合","无限","4格内可见目标格；中心与正交相邻","放置公开爆破标记；本回合结束时范围内单位与可破坏物各受到12点伤害，物件视为破障。","标记持续可见；施法者倒下也照常结算。；单位可主动撤离；可破坏容器耐久归零时销毁未领取内容；教程固定宝箱不可破坏。；审核通过，现有物件结算已接入；随机容器受击与销毁待实装","是","1","地块破坏回流","构筑终结","","",""
"F-P-U01","脱线疾行","直线突进最多3格。若从敌人攻击范围内出发并离开所有敌人的攻击范围，下回合获得1点行动点。","个人术式-U通用","火系术式:F-P-U01","1","2","0","2自身回合","无限","直线空格路径；射程3","沿四向主轴直线突进最多3格；若起点处于至少一个敌方公开攻击范围且终点离开全部范围则下回合行动力+1","平衡职责：脱险提速；状态：已接入待实机验收；额外行动力不叠加；本技能不攻击","是","1","突进穿刺","起手","突进","","纯运转"
"F-P-U02","烙痕传递","下一次武器命中使敌人燃烧1回合。","个人术式-U通用","火系术式:F-P-U02","1","2","0","1自身回合","无限","自身附着；射程自身","下次武器命中施加燃烧8持续1回合","平衡职责：燃烧建立；状态：待固定种子验证；不追加直伤","是","1","燃烧火场","单走","燃烧","","纯运转"
"F-P-U03","灼蚀校准","下一次武器命中对敌人施加破势。","个人术式-U通用","火系术式:F-P-U03","1","3","0","2自身回合","无限","自身附着；射程自身","下次武器命中施加破势","平衡职责：通用破势；状态：待固定种子验证；成本高于M06","是","1","破坏回流","起手","","破势","纯运转"
"F-P-U04","熔障校准","对敌人造成8点伤害并标记4回合；敌人被摧毁时，你恢复2点个人魔力并获得4点护盾。","个人术式-U通用","火系术式:F-P-U04","1","1","0","2自身回合","无限","可见可受击单体；射程4","施加持续4回合的熔障标记并对单位或物件造成8点伤害；标记目标被摧毁时恢复2魔力并获得4护盾","平衡职责：摧毁回流；状态：已接入待实机验收；标记不叠加且再次施加只刷新","是","1","破坏回流","起手","裂痕","","伤害加运转"
"F-P-U05","爆燃弹芯","下一次命中额外造成4点火焰伤害；命中处周围的敌人和友方各受4点火焰伤害。破障。","个人术式-U通用","火系术式:F-P-U05","2","3","0","2自身回合","无限","自身附着；射程自身","下次命中后追加4点火焰伤害，正交相邻单位各受到4点火焰伤害","平衡职责：溅射；状态：待固定种子验证；友军受伤","是","1","破坏回流","起手","破障","","伤害加运转"
"F-P-U06","热压续步","你的下一次武器攻击额外造成4点火焰伤害。攻击后，你向远离目标的方向后退1格。","个人术式-U通用","火系术式:F-P-U06","1","1","0","1自身回合","无限","自身附着；射程自身","下次武器攻击后追加4点火焰伤害，并向远离目标方向后撤1格","平衡职责：攻击后走位；状态：待固定种子验证；不触发第二次攻击","是","1","突进穿刺","单走","突进","","主伤害"
"F-P-U07","炉温护持","自身或友方获得12点护盾。","个人术式-U通用","火系术式:F-P-U07","1","2","0","2自身回合","无限","自身或友军单体；射程3","目标获得12盾","平衡职责：主动防御；状态：待固定种子验证；需要视线","是","1","破坏回流","单走","","","纯运转"
"F-P-U08","余烬护幕","若你正在燃烧，移除燃烧并获得20点护盾；否则获得12点护盾。","个人术式-U通用","火系术式:F-P-U08","2","3","0","2自身回合","无限","自身单体；射程自身","清燃烧后得20盾；未燃烧得12盾","平衡职责：自救护盾；状态：待同步；运行时显示名为余烬护甲","是","1","燃烧火场","单走","燃烧","","纯运转"
"F-P-U09","温血苏醒","解除敏捷负值，恢复本次行动的基础移动次数。","个人术式-U通用","火系术式:F-P-U09","1","1","0","1自身回合","无限","自身单体；射程自身","清除敏捷负值并恢复本行动基础移动","平衡职责：机动自救；状态：待固定种子验证；无敏捷负值不可施放","是","2","破坏回流","单走","","","纯运转"
"F-P-U10","热障偏流","持续至下次行动。首次受到远程伤害前获得8点护盾。","个人术式-U通用","火系术式:F-P-U10","1","2","0","2自身回合","无限","自身姿态；射程自身","首次远距受伤前获得8盾","平衡职责：通用反远程；状态：待固定种子验证；近战与环境伤害不触发","是","1","破坏回流","单走","","","纯运转"
"F-P-U11","热源回收","移除一处火场，恢复2点个人魔力。","个人术式-U通用","火系术式:F-P-U11","0","0","0","0自身回合","无限","燃烧格单体；射程3","清火场并恢复2魔力","平衡职责：火场转魔；状态：待固定种子验证；AP与火场换净回蓝","是","1","燃烧火场","单走","火场","","纯运转"
"F-P-U12","余热转护","下一次命中燃烧的敌人后，移除其燃烧并获得12点护盾。","个人术式-U通用","火系术式:F-P-U12","1","2","0","2自身回合","无限","自身附着；射程自身","命中燃烧敌后消费燃烧并得12盾","平衡职责：燃烧转盾；状态：待固定种子验证；未触发则行动结束失效","是","1","突进穿刺","单走","燃烧","","纯运转"
"F-P-U13","燃势回收","下一次命中燃烧的敌人后，恢复3点个人魔力。","个人术式-U通用","火系术式:F-P-U13","1","1","0","2自身回合","无限","自身附着；射程自身","命中燃烧敌后恢复3魔力并保留燃烧","平衡职责：燃烧转魔；状态：待固定种子验证；净回2且上限12","是","1","突进穿刺","单走","燃烧","","纯运转"
"F-P-U14","追火校准","下一次攻击燃烧的敌人时，额外造成12点火焰伤害。","个人术式-U通用","火系术式:F-P-U14","1","1","0","1自身回合","无限","自身附着；射程自身","下次攻击对燃烧敌追加12点火焰伤害","平衡职责：燃烧直伤收益；状态：待固定种子验证；需燃烧前置","是","1","突进穿刺","过渡","燃烧","","伤害加运转"
"F-P-U15","灰烬复燃","下一次命中燃烧的敌人时，额外造成4点火焰伤害，并使其燃烧至少持续2回合。","个人术式-U通用","火系术式:F-P-U15","1","1","0","1自身回合","无限","自身附着；射程自身","下次命中燃烧敌时追加4点火焰伤害并延长至至少2回合","平衡职责：燃烧维持；状态：待固定种子验证；不提高燃烧强度","是","1","突进穿刺","过渡","燃烧","","伤害加运转"
"F-P-U16","炉压蓄势","下一次武器攻击基础伤害+12。行动条+4。","个人术式-U通用","火系术式:F-P-U16","1","3","0","2自身回合","无限","自身附着；射程自身","下次武器攻击基础伤害+12；施法者行动条+4","平衡职责：高值武器强化；状态：待固定种子验证；重武器不再额外增益","是","1","突进穿刺","过渡","","","伤害加运转"
"F-P-U17","焦土警戒","标记一格。敌人首次进入该格时，在那里生成持续2回合的火场。","个人术式-U通用","火系术式:F-P-U17","1","3","0","3自身回合","无限","可见空格单体；射程3","敌人首次进入后生成持续2回合的火场（无直伤）","平衡职责：警戒地格；状态：待固定种子验证；每次最多一次","是","1","燃烧火场","起手","","","纯运转"
"F-P-U18","炉压震步","直线突进最多2格。落点相邻的敌人和友方各受8点伤害，并被推开1格。","个人术式-U通用","火系术式:F-P-U18","1","2","0","2自身回合","无限","直线空格路径；射程2","沿四向主轴直线突进最多2格；落点正交邻接的单位与物件各承受8点伤害并将其中单位向外推1格","平衡职责：突进冲击；状态：已接入待实机验收；可伤友军；撞玩法物块时双方各受4点碰撞伤害，其他非法推位只取消位移","是","1","突进穿刺","起手","突进","震步","伤害加运转"
"F-P-U19","火线协同","攻击燃烧的敌人后，友方下一次攻击额外造成8点火焰伤害。","个人术式-U通用","火系术式:F-P-U19","2","3","0","2自身回合","无限","燃烧敌单体；射程4","自身攻击后友军下次攻击追加8点火焰伤害","平衡职责：协同；状态：待固定种子验证；双方各最多触发一次","是","1","燃烧火场","过渡","燃烧","火场","伤害加运转"
"F-P-U20","炉心共振","施放后需1点行动点发动武器攻击。命中燃烧或破势的敌人时追加20点火焰伤害；同时拥有两种状态时追加28点。行动条+8。","个人术式-U通用","火系术式:F-P-U20","2","5","0","4自身回合","无限","自身附着；射程自身","对燃烧或破势目标追加20点火焰伤害；同时满足时追加28点火焰伤害并清除燃烧；施法者行动条+8","平衡职责：通用终结；状态：待固定种子验证；须留1AP武器攻击","是","1","突进穿刺","过渡","燃烧","破势","伤害加运转"
"F-P-U21","结构测绘","不造成伤害；若首个目标为物件则施加裂痕，若为单位则施加破势。","个人术式-U通用","火系术式:F-P-U21","1","2","0","2自身回合","无限","直线4格；首个单位或物件","不造成伤害；若首个目标为物件则施加裂痕，若为单位则施加破势。","首个单位或可破坏物拦截投射；裂痕物块被摧毁时施加者回流2魔力与4护盾，至施加者下一次自身回合结束移除；不能穿过前方单位去标记后方物件。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","地块破坏回流","稳定骨架","","",""
"F-P-U22","余料筑障","在合法空格生成8耐久轻掩体，持续至战斗结束或被摧毁。","个人术式-U通用","火系术式:F-P-U22","1","2","0","2自身回合","无限","本回合被己方摧毁物件的原格，或其相邻空格；射程3","在合法空格生成8耐久轻掩体，持续至战斗结束或被摧毁。","每个被摧毁物件只可作为1次材料来源；不能建在宝箱原格。；不得封死唯一任务路径；生成前预览新的通行与视线。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","地块破坏回流","独立收益","","",""
"F-P-U23","破口突入","突进至目标前一格并对其造成12点武器伤害；若目标为物件且被摧毁，则继续进入其空出的格。","个人术式-U通用","火系术式:F-P-U23","2","3","0","2自身回合","无限","直线3格；终点前方首个单位或物件","突进至目标前一格并对其造成12点武器伤害；若目标为物件且被摧毁，则继续进入其空出的格。","继续移动不是新行动；若空出格仍非法则停在原落点。；路径和可能的二段落点都必须预览。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","突进穿刺","稳定骨架","","",""
"F-P-U24","裂路穿刺","沿合法路径移动最多3格；路径必须经过至少1个本回合被摧毁物件的原格；路径正交邻接敌人受到6点武器伤害。","个人术式-U通用","火系术式:F-P-U24","1","2","0","2自身回合","无限","本回合被摧毁物件原格串联的路径；总长3","沿合法路径移动最多3格；路径必须经过至少1个本回合被摧毁物件的原格；路径正交邻接敌人受到6点武器伤害。","每个敌人每次至多受伤1次。；没有当回合破口时不可施放。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","突进穿刺","空间转化","","",""
"F-P-U25","震楔落步","突进最多2格；落点十字内单位与可破坏物各受到8点伤害，物件视为破障；单位向外推1格。","个人术式-U通用","火系术式:F-P-U25","2","4","0","3自身回合","无限","直线空格路径2格；落点十字","突进最多2格；落点十字内单位与可破坏物各受到8点伤害，物件视为破障；单位向外推1格。","先伤害、再摧毁、后推位。；伤友军；可破坏容器耐久归零时销毁未领取内容；教程固定宝箱不可破坏。；审核通过，现有物件结算已接入；随机容器受击与销毁待实装","是","1","突进穿刺","构筑终结","","",""
"F-P-U26","碎障回身","下一次由自身摧毁可破坏物后，可立即移动至其空出的格。","个人术式-U通用","火系术式:F-P-U26","1","2","0","2自身回合","无限","自身附着","下一次由自身摧毁可破坏物后，可立即移动至其空出的格。","空出格必须可站立且距自身不超过3；每次只触发1次。；移动会触发进入效果与敌方公开反应。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","突进穿刺","独立收益","","",""
"F-P-U27","缓冲护幕","获得8护盾；下次在自身下回合前受到的强制位移距离减少1格。","个人术式-U通用","火系术式:F-P-U27","1","3","0","2自身回合","无限","自身单体","获得8护盾；下次在自身下回合前受到的强制位移距离减少1格。","最低减至0；不影响主动移动。；只减少一次强制位移。；审核通过，已接入战斗结算，待正常流程实机验收","是","1","通用战术","独立收益","","",""
"F-P-U28","断势调息","选择清除束缚或敏捷负值之一。","个人术式-U通用","火系术式:F-P-U28","1","1","0","2自身回合","无限","自身单体","选择清除束缚或敏捷负值之一。","自身没有这两种状态时不可施放。；不能同时清除两种状态。；审核通过，已接入战斗结算与靶场测试，待正常流程实机验收","是","1","通用战术","稳定骨架","","",""
"fire_bolt","火矢","","敌人能力","单位或系统","全部剩余","0","0","0","无限","5格内可见敌方单位","造成5点火焰伤害；施加燃烧4持续目标2个自身回合","燃烧于目标自身回合结束触发；刷新不叠加强度；敌方全回合动作","是","1","","","","",""
"hammer","破甲战锤","","武器动作","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成6点物理伤害；施法者行动条+3","无","是","1","","","","",""
"heavy_crossbow","绞盘重弩","","武器动作","单位或系统","全部剩余","0","0","0","无限","4格可见敌方单位","造成3点物理伤害","敌方全回合动作；要求攻击线","是","1","","","","",""
"ORIGIN-SPELL-01","借障导流","","出身术式","出身:维克多·维恩","1","1","0","0","无限","自身；仅在正交邻接轻或重掩体时合法","获得4护盾；生成当前战斗效果：本回合下一次移动最大步数+2","同回合不叠加","是","1","","","","",""
"rifle","制式步枪","","武器动作","单位或系统","全部剩余","0","0","0","无限","4格可见敌方单位","造成4点物理伤害","要求攻击线","是","1","","","","",""
"shield","盾牌撞击","","武器动作","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成2点物理伤害","无","是","1","","","","",""
"tether_hound_bite","导能撕咬","","武器动作","单位或系统","全部剩余","0","0","0","无限","相邻敌方单位","造成3点物理伤害","敌方全回合动作","是","1","","","","",""
"wand","以太手杖","","武器动作","单位或系统","全部剩余","0","0","0","无限","3格可见敌方单位","造成3点以太伤害","要求攻击线","是","1","","","","",""
